Município,Participação PIB
Campestre (AL),"1,25"
Campo Alegre (AL),"10,29"
Campo Grande (AL),"1,06"
Canapi (AL),"15,95"
Capela (AL),"3,53"
Carneiros (AL),"4,69"
Chã Preta (AL),"3,95"
Coité do Nóia (AL),"2,11"
Colônia Leopoldina (AL),"5,66"
Coqueiro Seco (AL),"0,28"
Coruripe (AL),"24,96"
Craíbas (AL),"4,8"
Delmiro Gouveia (AL),"60,66"
Dois Riachos (AL),"5,44"
Estrela de Alagoas (AL),"5,75"
Feira Grande (AL),"4,27"
Feliz Deserto (AL),"6,7"
Flexeiras (AL),"4,24"
Girau do Ponciano (AL),"5,48"
Ibateguara (AL),"4,43"
Igaci (AL),"11,62"
Igreja Nova (AL),"23,37"
Inhapi (AL),"16,75"
Jacaré dos Homens (AL),"5,86"
Jacuípe (AL),"2,77"
Japaratinga (AL),"11,03"
Jaramataia (AL),"6,09"
Jequiá da Praia (AL),"5,35"
Joaquim Gomes (AL),"7,42"
Jundiá (AL),"0,78"
Junqueiro (AL),"7,7"
Lagoa da Canoa (AL),"2,72"
Limoeiro de Anadia (AL),"6,84"
Maceió (AL),"79,98"
Major Isidoro (AL),"22,16"
Maragogi (AL),"48,97"
Maravilha (AL),"4,69"
Marechal Deodoro (AL),"9,92"
Maribondo (AL),7
Mar Vermelho (AL),"1,9"
Mata Grande (AL),"33,98"
Matriz de Camaragibe (AL),"5,49"
Messias (AL),"3,15"
Minador do Negrão (AL),"2,78"
Monteirópolis (AL),"6,33"
Murici (AL),"8,37"
Novo Lino (AL),"2,67"
Olho d'Água das Flores (AL),"21,25"
Olho d'Água do Casado (AL),"8,37"
Olho d'Água Grande (AL),"14,03"
Olivença (AL),"8,51"
Ouro Branco (AL),"5,71"
Palestina (AL),"2,37"
Palmeira dos Índios (AL),"44,02"
Pão de Açúcar (AL),"13,77"
Pariconha (AL),"13,89"
Paripueira (AL),"0,69"
Passo de Camaragibe (AL),"14,76"
Paulo Jacinto (AL),"4,09"
Penedo (AL),"40,21"
Piaçabuçu (AL),"18,73"
Pilar (AL),"1,97"
Pindoba (AL),"1,34"
Piranhas (AL),"30,97"
Poço das Trincheiras (AL),"6,49"
Porto Calvo (AL),"5,88"
Porto de Pedras (AL),"14,58"
Porto Real do Colégio (AL),"10,99"
Quebrangulo (AL),"7,04"
Rio Largo (AL),"4,14"
Roteiro (AL),"2,86"
Santa Luzia do Norte (AL),"0,81"
Santana do Ipanema (AL),"33,39"
Santana do Mundaú (AL),"31,74"
São Brás (AL),"26,08"
São José da Laje (AL),"13,25"
São José da Tapera (AL),"17,19"
São Luís do Quitunde (AL),"13,44"
São Miguel dos Campos (AL),"19,23"
São Miguel dos Milagres (AL),"10,66"
São Sebastião (AL),"8,57"
Satuba (AL),"0,76"
Senador Rui Palmeira (AL),"6,26"
Tanque d'Arca (AL),"3,43"
Taquarana (AL),"5,1"
Teotônio Vilela (AL),"19,01"
Traipu (AL),"59,89"
União dos Palmares (AL),"31,91"
Viçosa (AL),"13,39"
Amparo do São Francisco (SE),"2,51"
Aquidabã (SE),"29,61"
Aracaju (SE),"72,89"
Arauá (SE),"6,59"
Areia Branca (SE),"7,63"
Barra dos Coqueiros (SE),"10,22"
Boquim (SE),"15,68"
Brejo Grande (SE),"6,34"
Campo do Brito (SE),"7,19"
Canhoba (SE),"5,59"
Canindé de São Francisco (SE),"56,06"
Capela (SE),"47,82"
Carira (SE),"29,36"
Carmópolis (SE),"14,4"
Cedro de São João (SE),"4,25"
Cristinápolis (SE),"11,8"
Cumbe (SE),"7,15"
Divina Pastora (SE),"23,41"
Estância (SE),"62,01"
Feira Nova (SE),"2,23"
Frei Paulo (SE),"25,11"
Gararu (SE),"3,48"
General Maynard (SE),"1,48"
Graccho Cardoso (SE),"1,96"
Ilha das Flores (SE),"6,74"
Indiaroba (SE),"6,7"
Itabaiana (SE),"66,91"
Itabaianinha (SE),"25,22"
Itabi (SE),"1,57"
Itaporanga d'Ajuda (SE),"25,67"
Japaratuba (SE),"45,15"
Japoatã (SE),"18,02"
Lagarto (SE),"84,54"
Laranjeiras (SE),"39,58"
Macambira (SE),"2,71"
Malhada dos Bois (SE),"5,43"
Malhador (SE),"5,24"
Maruim (SE),"15,28"
Moita Bonita (SE),"6,24"
Monte Alegre de Sergipe (SE),"4,24"
Muribeca (SE),"9,94"
Neópolis (SE),"21,89"
Nossa Senhora Aparecida (SE),"8,5"
Nossa Senhora da Glória (SE),"15,31"
Nossa Senhora das Dores (SE),"42,76"
Nossa Senhora de Lourdes (SE),"6,03"
Nossa Senhora do Socorro (SE),"12,8"
Pacatuba (SE),"20,24"
Pedra Mole (SE),"3,71"
Pedrinhas (SE),"4,66"
Pinhão (SE),"7,08"
Pirambu (SE),"11,8"
Poço Redondo (SE),"8,06"
Poço Verde (SE),"18,22"
Porto da Folha (SE),"7,1"
Propriá (SE),"36,67"
Riachão do Dantas (SE),"15,46"
Riachuelo (SE),"7,58"
Ribeirópolis (SE),"26,24"
Rosário do Catete (SE),"15,97"
Salgado (SE),"10,24"
Santa Luzia do Itanhy (SE),"5,62"
Santana do São Francisco (SE),"7,06"
Santa Rosa de Lima (SE),"6,84"
Santo Amaro das Brotas (SE),"5,71"
São Cristóvão (SE),"4,09"
São Domingos (SE),"4,09"
São Francisco (SE),"4,79"
São Miguel do Aleixo (SE),"5,13"
Simão Dias (SE),"44,69"
Siriri (SE),"21,93"
Telha (SE),"2,92"
Tobias Barreto (SE),"37,08"
Tomar do Geru (SE),"6,92"
Umbaúba (SE),"18,9"
Abaíra (BA),"1,72"
Abaré (BA),"4,4"
Acajutiba (BA),"1,97"
Adustina (BA),"6,15"
Água Fria (BA),"0,61"
Érico Cardoso (BA),"6,69"
Aiquara (BA),"0,68"
Alagoinhas (BA),"61,67"
Alcobaça (BA),"1,92"
Almadina (BA),"0,35"
Amargosa (BA),"5,86"
Amélia Rodrigues (BA),"8,09"
América Dourada (BA),"3,08"
Anagé (BA),"1,93"
Andaraí (BA),"3,29"
Andorinha (BA),"4,07"
Angical (BA),"13,03"
Anguera (BA),"0,3"
Antas (BA),"4,11"
Antônio Cardoso (BA),"0,48"
Antônio Gonçalves (BA),"1,51"
Aporá (BA),"2,02"
Apuarema (BA),"0,94"
Aracatu (BA),"4,29"
Araçás (BA),"4,07"
Araci (BA),"9,49"
Aramari (BA),"1,41"
Arataca (BA),"0,56"
Aratuípe (BA),"0,94"
Aurelino Leal (BA),"0,75"
Baianópolis (BA),"0,94"
Baixa Grande (BA),"6,99"
Banzaê (BA),"2,9"
Barra (BA),"22,62"
Barra da Estiva (BA),"9,24"
Barra do Choça (BA),"4,93"
Barra do Mendes (BA),"2,13"
Barra do Rocha (BA),"0,43"
Barreiras (BA),"24,88"
Barro Alto (BA),"2,07"
Barrocas (BA),"6,68"
Barro Preto (BA),"0,44"
Belmonte (BA),"2,05"
Belo Campo (BA),"1,46"
Biritinga (BA),"2,81"
Boa Nova (BA),"0,96"
Boa Vista do Tupim (BA),"5,58"
Bom Jesus da Lapa (BA),"54,28"
Bom Jesus da Serra (BA),"0,6"
Boninal (BA),"2,89"
Bonito (BA),"6,62"
Boquira (BA),"10,41"
Botuporã (BA),"6,06"
Brejões (BA),"1,82"
Brejolândia (BA),"8,64"
Brotas de Macaúbas (BA),"5,31"
Brumado (BA),"52,51"
Buerarema (BA),"1,15"
Buritirama (BA),"8,14"
Caatiba (BA),"0,67"
Cabaceiras do Paraguaçu (BA),"1,67"
Cachoeira (BA),"5,65"
Caculé (BA),"6,46"
Caém (BA),"1,82"
Caetanos (BA),"0,88"
Caetité (BA),"19,5"
Cafarnaum (BA),"3,99"
Cairu (BA),"27,38"
Caldeirão Grande (BA),"2,01"
Camacan (BA),"1,95"
Camaçari (BA),"25,18"
Camamu (BA),"8,52"
Campo Alegre de Lourdes (BA),"2,94"
Campo Formoso (BA),"37,77"
Canápolis (BA),"1,25"
Canarana (BA),"4,75"
Canavieiras (BA),"2,17"
Candeal (BA),"1,31"
Candeias (BA),"5,05"
Candiba (BA),"2,5"
Cândido Sales (BA),"2,1"
Cansanção (BA),"11,07"
Canudos (BA),"4,8"
Capela do Alto Alegre (BA),"2,5"
Capim Grosso (BA),"11,44"
Caraíbas (BA),"2,54"
Caravelas (BA),"1,97"
Cardeal da Silva (BA),"5,92"
Carinhanha (BA),"11,53"
Casa Nova (BA),"8,71"
Castro Alves (BA),"3,74"
Catolândia (BA),"0,29"
Catu (BA),"12,86"
Caturama (BA),"4,31"
Central (BA),"2,84"
Chorrochó (BA),"2,22"
Cícero Dantas (BA),"10,23"
Cipó (BA),"3,97"
Coaraci (BA),"1,05"
Cocos (BA),"8,21"
Conceição da Feira (BA),"1,45"
Conceição do Almeida (BA),"2,36"
Conceição do Coité (BA),"17,08"
Conceição do Jacuípe (BA),"10,62"
Conde (BA),"14,53"
Condeúba (BA),"5,04"
Contendas do Sincorá (BA),"1,24"
Coração de Maria (BA),"0,87"
Cordeiros (BA),"2,08"
Coribe (BA),"2,48"
Coronel João Sá (BA),"17,21"
Correntina (BA),"48,09"
Cotegipe (BA),"11,72"
Cravolândia (BA),"0,58"
Crisópolis (BA),"2,8"
Cristópolis (BA),"10,8"
Cruz das Almas (BA),"12,29"
Curaçá (BA),"3,54"
Dário Meira (BA),"1,08"
Dias d'Ávila (BA),"2,26"
Dom Basílio (BA),"12,19"
Dom Macedo Costa (BA),"0,51"
Elísio Medrado (BA),"0,3"
Encruzilhada (BA),"7,86"
Entre Rios (BA),"34,28"
Esplanada (BA),"36,81"
Euclides da Cunha (BA),"24,95"
Eunápolis (BA),"17,66"
Fátima (BA),"7,16"
Feira da Mata (BA),"2,52"
Feira de Santana (BA),"66,44"
Filadélfia (BA),"2,54"
Firmino Alves (BA),"0,39"
Floresta Azul (BA),"0,56"
Formosa do Rio Preto (BA),"16,36"
Gandu (BA),"2,54"
Gavião (BA),"0,96"
Gentio do Ouro (BA),"2,45"
Glória (BA),"5,36"
Gongogi (BA),"0,42"
Governador Mangabeira (BA),"2,62"
Guajeru (BA),"2,02"
Guanambi (BA),"29,36"
Guaratinga (BA),"1,54"
Heliópolis (BA),"3,6"
Iaçu (BA),"8,52"
Ibiassucê (BA),"1,76"
Ibicaraí (BA),"1,14"
Ibicoara (BA),"10,84"
Ibicuí (BA),"1,69"
Ibipeba (BA),"3,26"
Ibipitanga (BA),"6,47"
Ibiquera (BA),"1,34"
Ibirapitanga (BA),"1,57"
Ibirapuã (BA),"2,48"
Ibirataia (BA),"1,14"
Ibitiara (BA),"6,26"
Ibititá (BA),"2,85"
Ibotirama (BA),"21,83"
Ichu (BA),"1,09"
Igaporã (BA),"3,52"
Igrapiúna (BA),"3,84"
Iguaí (BA),"2,12"
Ilhéus (BA),"28,38"
Inhambupe (BA),"8,51"
Ipecaetá (BA),"0,4"
Ipiaú (BA),"3,13"
Ipirá (BA),"2,56"
Ipupiara (BA),"5,53"
Irajuba (BA),"0,98"
Iramaia (BA),"1,3"
Iraquara (BA),"16,47"
Irará (BA),"1,1"
Irecê (BA),"28,13"
Itabela (BA),"2,84"
Itaberaba (BA),"35,79"
Itabuna (BA),"23,09"
Itacaré (BA),"2,34"
Itaeté (BA),"3,1"
Itagi (BA),"1,62"
Itagibá (BA),"6,06"
Itagimirim (BA),"0,7"
Itaguaçu da Bahia (BA),"8,02"
Itaju do Colônia (BA),"0,49"
Itajuípe (BA),"1,4"
Itamaraju (BA),"6,13"
Itamari (BA),"0,57"
Itambé (BA),"9,05"
Itanagra (BA),"1,51"
Itanhém (BA),"1,62"
Itaparica (BA),"0,18"
Itapé (BA),"0,59"
Itapebi (BA),"1,84"
Itapetinga (BA),"45,03"
Itapicuru (BA),"11,23"
Itapitanga (BA),"0,52"
Itaquara (BA),"1,27"
Itarantim (BA),"10,16"
Itatim (BA),"1,65"
Itiruçu (BA),"1,52"
Itiúba (BA),"6,41"
Itororó (BA),"7,71"
Ituaçu (BA),"7,56"
Ituberá (BA),"6,69"
Iuiu (BA),"2,37"
Jaborandi (BA),"19,71"
Jacaraci (BA),"2,18"
Jacobina (BA),"36,87"
Jaguaquara (BA),"8,56"
Jaguarari (BA),"21,84"
Jaguaripe (BA),"2,44"
Jandaíra (BA),"8,46"
Jequié (BA),"40,11"
Jeremoabo (BA),"49,22"
Jiquiriçá (BA),"1,9"
Jitaúna (BA),"2,22"
João Dourado (BA),"5,46"
Juazeiro (BA),"51,59"
Jucuruçu (BA),"0,7"
Jussara (BA),"2,09"
Jussari (BA),"0,39"
Jussiape (BA),"1,68"
Lafaiete Coutinho (BA),"0,7"
Lagoa Real (BA),"2,12"
Laje (BA),"3,69"
Lajedão (BA),"0,62"
Lajedinho (BA),"2,19"
Lajedo do Tabocal (BA),"0,99"
Lamarão (BA),"1,26"
Lapão (BA),"5,55"
Lauro de Freitas (BA),"5,43"
Lençóis (BA),"4,15"
Licínio de Almeida (BA),"2,8"
Livramento de Nossa Senhora (BA),"49,31"
Luís Eduardo Magalhães (BA),"31,32"
Macajuba (BA),"3,26"
Macarani (BA),"6,97"
Macaúbas (BA),"23,74"
Macururé (BA),"1,42"
Madre de Deus (BA),"0,38"
Maetinga (BA),"1,48"
Maiquinique (BA),"6,29"
Mairi (BA),"5,7"
Malhada (BA),"3,34"
Malhada de Pedras (BA),"2,37"
Manoel Vitorino (BA),"1,2"
Mansidão (BA),"6,41"
Maracás (BA),"8,29"
Maragogipe (BA),"4,75"
Maraú (BA),"6,21"
Marcionílio Souza (BA),"1,19"
Mascote (BA),"0,89"
Mata de São João (BA),"24,57"
Matina (BA),"1,63"
Medeiros Neto (BA),"2,84"
Miguel Calmon (BA),"5,39"
Milagres (BA),"1,82"
Mirangaba (BA),"2,79"
Mirante (BA),"0,68"
Monte Santo (BA),"14,43"
Morpará (BA),"4,13"
Morro do Chapéu (BA),"12,35"
Mortugaba (BA),"1,9"
Mucugê (BA),"18,95"
Mucuri (BA),"12,2"
Mulungu do Morro (BA),"3,91"
Mundo Novo (BA),"7,15"
Muniz Ferreira (BA),"0,79"
Muquém do São Francisco (BA),"11,04"
Muritiba (BA),"3,26"
Mutuípe (BA),"5,95"
Nazaré (BA),"3,9"
Nilo Peçanha (BA),"3,38"
Nordestina (BA),"5,05"
Nova Canaã (BA),"1,5"
Nova Fátima (BA),"1,84"
Nova Ibiá (BA),"0,56"
Nova Itarana (BA),"0,93"
Nova Redenção (BA),"1,85"
Nova Soure (BA),"6,95"
Nova Viçosa (BA),"3,18"
Novo Horizonte (BA),"5,79"
Novo Triunfo (BA),"2,66"
Olindina (BA),"6,19"
Oliveira dos Brejinhos (BA),"16,07"
Ouriçangas (BA),"0,31"
Ourolândia (BA),"5,53"
Palmas de Monte Alto (BA),"4,23"
Palmeiras (BA),"2,64"
Paramirim (BA),"23,21"
Paratinga (BA),"10,42"
Paripiranga (BA),"11,62"
Pau Brasil (BA),"0,58"
Paulo Afonso (BA),"83,58"
Pé de Serra (BA),"2,54"
Pedrão (BA),"0,2"
Pedro Alexandre (BA),"11,71"
Piatã (BA),"5,94"
Pilão Arcado (BA),"2,9"
Pindaí (BA),"5,26"
Pindobaçu (BA),"2,86"
Pintadas (BA),"0,42"
Piraí do Norte (BA),"2,13"
Piripá (BA),"2,34"
Piritiba (BA),"3,71"
Planaltino (BA),1
Planalto (BA),"2,66"
Poções (BA),"4,93"
Pojuca (BA),"34,09"
Ponto Novo (BA),"2,82"
Porto Seguro (BA),"20,77"
Potiraguá (BA),"3,53"
Prado (BA),"3,44"
Presidente Dutra (BA),"2,43"
Presidente Jânio Quadros (BA),"2,96"
Presidente Tancredo Neves (BA),"6,15"
Queimadas (BA),"8,09"
Quijingue (BA),"7,15"
Quixabeira (BA),"1,52"
Rafael Jambeiro (BA),"1,52"
Remanso (BA),"4,85"
Retirolândia (BA),"2,89"
Riachão das Neves (BA),"5,47"
Riachão do Jacuípe (BA),"7,92"
Riacho de Santana (BA),"5,64"
Ribeira do Amparo (BA),"4,92"
Ribeira do Pombal (BA),"18,32"
Ribeirão do Largo (BA),"3,41"
Rio de Contas (BA),"3,81"
Rio do Antônio (BA),"3,41"
Rio do Pires (BA),"8,6"
Rio Real (BA),"14,03"
Rodelas (BA),"3,03"
Ruy Barbosa (BA),"14,1"
Salinas da Margarida (BA),"2,37"
Salvador (BA),"46,67"
Santa Bárbara (BA),"0,69"
Santa Brígida (BA),"11,72"
Santa Cruz Cabrália (BA),"3,02"
Santa Cruz da Vitória (BA),"0,39"
Santa Inês (BA),"0,96"
Santaluz (BA),"10,08"
Santa Luzia (BA),"0,68"
Santa Maria da Vitória (BA),"8,8"
Santana (BA),"5,04"
Santanópolis (BA),"0,26"
Santa Rita de Cássia (BA),"19,57"
Santa Terezinha (BA),"0,39"
Santo Amaro (BA),"13,42"
Santo Antônio de Jesus (BA),"28,9"
Santo Estêvão (BA),"3,51"
São Desidério (BA),"20,75"
São Domingos (BA),"1,71"
São Félix (BA),"2,04"
São Félix do Coribe (BA),"3,5"
São Felipe (BA),"2,5"
São Francisco do Conde (BA),"9,7"
São Gabriel (BA),"2,81"
São Gonçalo dos Campos (BA),"4,44"
São José da Vitória (BA),"0,37"
São José do Jacuípe (BA),"2,5"
São Miguel das Matas (BA),"2,23"
São Sebastião do Passé (BA),"15,72"
Sapeaçu (BA),"2,52"
Sátiro Dias (BA),"3,51"
Saubara (BA),"1,73"
Saúde (BA),"2,03"
Seabra (BA),"15,3"
Sebastião Laranjeiras (BA),"1,9"
Senhor do Bonfim (BA),"18,2"
Serra do Ramalho (BA),"16,45"
Sento Sé (BA),"17,07"
Serra Dourada (BA),"2,93"
Serra Preta (BA),"0,53"
Serrinha (BA),"20,98"
Serrolândia (BA),"2,34"
Simões Filho (BA),"4,7"
Sítio do Mato (BA),"4,8"
Sítio do Quinto (BA),"10,14"
Sobradinho (BA),"8,4"
Souto Soares (BA),"2,5"
Tabocas do Brejo Velho (BA),"18,36"
Tanhaçu (BA),"7,46"
Tanque Novo (BA),"10,07"
Tanquinho (BA),"0,26"
Taperoá (BA),"4,03"
Tapiramutá (BA),"5,35"
Teixeira de Freitas (BA),"15,85"
Teodoro Sampaio (BA),"0,68"
Teofilândia (BA),"3,69"
Teolândia (BA),"1,19"
Terra Nova (BA),"3,15"
Tremedal (BA),"3,94"
Tucano (BA),"17,09"
Uauá (BA),"7,37"
Ubaíra (BA),"2,89"
Ubaitaba (BA),"1,35"
Ubatã (BA),"1,23"
Uibaí (BA),"3,23"
Umburanas (BA),"4,79"
Una (BA),"1,85"
Urandi (BA),"3,55"
Uruçuca (BA),"1,63"
Utinga (BA),"4,55"
Valença (BA),"31,66"
Valente (BA),"5,19"
Várzea da Roça (BA),"4,03"
Várzea do Poço (BA),"2,29"
Várzea Nova (BA),"4,58"
Varzedo (BA),"1,6"
Vera Cruz (BA),"0,45"
Vereda (BA),"0,51"
Vitória da Conquista (BA),"70,61"
Wagner (BA),"2,19"
Wanderley (BA),"11,48"
Wenceslau Guimarães (BA),"1,82"
Xique-Xique (BA),"24,22"
Abadia dos Dourados (MG),"1,93"
Abaeté (MG),"9,71"
Abre Campo (MG),"3,62"
Acaiaca (MG),"1,51"
Açucena (MG),"0,56"
Água Boa (MG),"17,78"
Água Comprida (MG),"0,97"
Aguanil (MG),"3,36"
Águas Formosas (MG),"13,99"
Águas Vermelhas (MG),"7,63"
Aimorés (MG),"22,12"
Aiuruoca (MG),"7,48"
Alagoa (MG),"0,79"
Albertina (MG),"1,08"
Além Paraíba (MG),"18,63"
Alfenas (MG),"44,07"
Alfredo Vasconcelos (MG),"2,47"
Almenara (MG),"30,13"
Alpercata (MG),1
Alpinópolis (MG),"6,47"
Alterosa (MG),"3,75"
Alto Caparaó (MG),"1,34"
Alto Rio Doce (MG),"4,39"
Alvarenga (MG),"1,89"
Alvinópolis (MG),"0,84"
Alvorada de Minas (MG),"0,65"
Amparo do Serra (MG),"1,36"
Andradas (MG),"8,32"
Cachoeira de Pajeú (MG),"10,86"
Andrelândia (MG),"16,98"
Angelândia (MG),"4,26"
Antônio Carlos (MG),"3,97"
Antônio Dias (MG),"3,01"
Antônio Prado de Minas (MG),"0,49"
Araçaí (MG),"0,34"
Aracitaba (MG),"0,13"
Araçuaí (MG),"28,94"
Araguari (MG),"10,57"
Arantina (MG),"5,15"
Araponga (MG),"2,98"
Araporã (MG),"2,34"
Arapuá (MG),"1,58"
Araújos (MG),"7,49"
Araxá (MG),"50,67"
Arceburgo (MG),"3,85"
Arcos (MG),"36,04"
Areado (MG),"3,91"
Argirita (MG),"0,77"
Aricanduva (MG),"1,98"
Arinos (MG),"4,37"
Astolfo Dutra (MG),"3,7"
Ataléia (MG),"4,43"
Augusto de Lima (MG),"2,37"
Baependi (MG),"6,29"
Baldim (MG),"1,13"
Bambuí (MG),"21,59"
Bandeira (MG),"2,64"
Bandeira do Sul (MG),"0,61"
Barão de Cocais (MG),"6,03"
Barão do Monte Alto (MG),"1,08"
Barbacena (MG),"57,81"
Barra Longa (MG),"1,91"
Barroso (MG),"9,99"
Bela Vista de Minas (MG),"1,41"
Belmiro Braga (MG),"0,25"
Belo Horizonte (MG),"44,67"
Belo Oriente (MG),"7,12"
Belo Vale (MG),"2,78"
Berilo (MG),"3,32"
Bertópolis (MG),"2,62"
Berizal (MG),"1,97"
Betim (MG),"13,98"
Bias Fortes (MG),"0,17"
Bicas (MG),"1,11"
Biquinhas (MG),"1,16"
Boa Esperança (MG),"5,89"
Bocaina de Minas (MG),"4,67"
Bocaiúva (MG),"72,81"
Bom Despacho (MG),"28,65"
Bom Jardim de Minas (MG),"7,43"
Bom Jesus da Penha (MG),"2,42"
Bom Jesus do Amparo (MG),"0,4"
Bom Jesus do Galho (MG),"3,62"
Bom Repouso (MG),"0,52"
Bom Sucesso (MG),"12,28"
Bonfim (MG),"1,35"
Bonfinópolis de Minas (MG),"6,29"
Bonito de Minas (MG),"2,87"
Borda da Mata (MG),"1,22"
Botelhos (MG),"2,29"
Botumirim (MG),"6,99"
Brasilândia de Minas (MG),"3,05"
Brasília de Minas (MG),"2,7"
Brás Pires (MG),"1,22"
Braúnas (MG),"7,66"
Brazópolis (MG),"3,82"
Brumadinho (MG),"1,95"
Bueno Brandão (MG),"0,79"
Buenópolis (MG),"4,81"
Bugre (MG),"1,01"
Buritis (MG),"15,96"
Buritizeiro (MG),"13,06"
Cabeceira Grande (MG),"6,54"
Cabo Verde (MG),"3,23"
Cachoeira da Prata (MG),"0,29"
Cachoeira de Minas (MG),"10,11"
Cachoeira Dourada (MG),"4,57"
Caetanópolis (MG),"1,77"
Caeté (MG),"0,45"
Caiana (MG),"1,52"
Cajuri (MG),"2,37"
Caldas (MG),"2,37"
Camacho (MG),"1,09"
Camanducaia (MG),"3,23"
Cambuí (MG),"6,08"
Cambuquira (MG),"6,12"
Campanário (MG),"0,56"
Campanha (MG),"2,45"
Campestre (MG),"3,42"
Campina Verde (MG),"6,1"
Campo Azul (MG),"0,29"
Campo Belo (MG),"44,15"
Campo do Meio (MG),"1,29"
Campo Florido (MG),"2,99"
Campos Altos (MG),"2,46"
Campos Gerais (MG),"3,92"
Canaã (MG),"1,89"
Canápolis (MG),"1,23"
Cana Verde (MG),"2,84"
Candeias (MG),"13,17"
Cantagalo (MG),"5,25"
Caparaó (MG),"1,35"
Capela Nova (MG),"1,03"
Capelinha (MG),"26,17"
Capetinga (MG),"2,56"
Capim Branco (MG),"0,69"
Capinópolis (MG),"11,3"
Capitão Andrade (MG),"0,64"
Capitão Enéas (MG),"3,59"
Capitólio (MG),"4,06"
Caputira (MG),"1,98"
Caraí (MG),"11,71"
Caranaíba (MG),"0,68"
Carandaí (MG),"12,34"
Carangola (MG),"10,97"
Caratinga (MG),"48,31"
Carbonita (MG),"6,5"
Careaçu (MG),"3,28"
Carlos Chagas (MG),"23,1"
Carmésia (MG),"1,43"
Carmo da Cachoeira (MG),"1,79"
Carmo da Mata (MG),"7,33"
Carmo de Minas (MG),"4,8"
Carmo do Cajuru (MG),"3,02"
Carmo do Paranaíba (MG),"9,69"
Carmo do Rio Claro (MG),"8,78"
Carmópolis de Minas (MG),"12,73"
Carneirinho (MG),"4,63"
Carrancas (MG),"3,65"
Carvalhópolis (MG),"0,9"
Carvalhos (MG),"4,69"
Casa Grande (MG),"0,41"
Cascalho Rico (MG),"0,14"
Cássia (MG),"5,39"
Conceição da Barra de Minas (MG),"1,14"
Cataguases (MG),"31,66"
Catas Altas (MG),"12,45"
Catas Altas da Noruega (MG),"0,24"
Catuji (MG),"1,85"
Catuti (MG),"1,21"
Caxambu (MG),"6,13"
Cedro do Abaeté (MG),"0,4"
Central de Minas (MG),"8,83"
Centralina (MG),"0,64"
Chácara (MG),"0,19"
Chalé (MG),"1,57"
Chapada do Norte (MG),"3,27"
Chapada Gaúcha (MG),"11,44"
Chiador (MG),"0,15"
Cipotânea (MG),"1,79"
Claraval (MG),"2,25"
Claro dos Poções (MG),"0,6"
Cláudio (MG),"5,37"
Coimbra (MG),"3,41"
Coluna (MG),"4,36"
Comendador Gomes (MG),"1,76"
Comercinho (MG),"5,89"
Conceição da Aparecida (MG),"3,47"
Conceição das Pedras (MG),"1,15"
Conceição das Alagoas (MG),"5,54"
Conceição de Ipanema (MG),"2,81"
Conceição do Mato Dentro (MG),"91,29"
Conceição do Pará (MG),"2,37"
Conceição do Rio Verde (MG),"5,67"
Conceição dos Ouros (MG),"4,24"
Cônego Marinho (MG),"1,8"
Confins (MG),"0,21"
Congonhal (MG),"0,72"
Congonhas (MG),"24,09"
Congonhas do Norte (MG),"0,5"
Conquista (MG),"2,06"
Conselheiro Lafaiete (MG),"18,25"
Conselheiro Pena (MG),"13,31"
Consolação (MG),"0,61"
Contagem (MG),"15,4"
Coqueiral (MG),"1,3"
Coração de Jesus (MG),"1,95"
Cordisburgo (MG),"0,82"
Cordislândia (MG),"2,14"
Corinto (MG),"16,31"
Coroaci (MG),"1,33"
Coromandel (MG),"16,75"
Coronel Fabriciano (MG),"6,72"
Coronel Murta (MG),"6,67"
Coronel Pacheco (MG),"0,24"
Coronel Xavier Chaves (MG),"1,51"
Córrego Danta (MG),"4,58"
Córrego do Bom Jesus (MG),"0,15"
Córrego Fundo (MG),"4,92"
Córrego Novo (MG),"0,82"
Couto de Magalhães de Minas (MG),"4,03"
Crisólita (MG),"3,72"
Cristais (MG),"10,48"
Cristália (MG),"5,46"
Cristiano Otoni (MG),"0,72"
Cristina (MG),"4,51"
Crucilândia (MG),"0,83"
Cruzeiro da Fortaleza (MG),"2,01"
Cruzília (MG),"18,49"
Cuparaque (MG),"2,57"
Curral de Dentro (MG),"2,59"
Curvelo (MG),"59,42"
Datas (MG),"4,71"
Delfim Moreira (MG),"2,43"
Delfinópolis (MG),"3,05"
Delta (MG),"1,96"
Descoberto (MG),"0,33"
Desterro de Entre Rios (MG),"1,53"
Desterro do Melo (MG),"0,83"
Diamantina (MG),"62,64"
Diogo de Vasconcelos (MG),"0,14"
Dionísio (MG),"0,22"
Divinésia (MG),"0,81"
Divino (MG),"5,48"
Divino das Laranjeiras (MG),"0,65"
Divinolândia de Minas (MG),"2,96"
Divinópolis (MG),"39,96"
Divisa Alegre (MG),"5,75"
Divisa Nova (MG),"1,64"
Divisópolis (MG),"4,16"
Dom Bosco (MG),"0,95"
Dom Cavati (MG),"1,47"
Dom Joaquim (MG),"0,68"
Dom Silvério (MG),"2,51"
Dom Viçoso (MG),"0,75"
Dona Euzébia (MG),"2,11"
Dores de Campos (MG),"5,31"
Dores de Guanhães (MG),"6,85"
Dores do Indaiá (MG),"5,56"
Dores do Turvo (MG),"0,85"
Doresópolis (MG),"2,33"
Douradoquara (MG),"0,87"
Durandé (MG),"1,69"
Elói Mendes (MG),"3,93"
